Match ID,Season Match Number,Team 1 ID,Team 1,Team 2 ID,Team 2,Event,Date,Team 1 Score,Team 2 Score,Winner,Match VOD
cw-s3w2-groupplay-match-10,112,116.0,Los Angeles Thieves,117.0,OpTic Chicago,Stage 3 Week 2,5/2/21,3,1,Los Angeles Thieves,https://youtu.be/MA_JZgcYA3c?t=1
cw-s3w3-groupplay-match-1,113,108.0,Los Angeles Guerrillas,109.0,Minnesota RØKKR,Stage 3 Week 3,5/6/21,2,3,Minnesota RØKKR,https://youtu.be/utWS2f1Gp5E?t=1
cw-s3w3-groupplay-match-2,114,110.0,New York Subliners,117.0,OpTic Chicago,Stage 3 Week 3,5/6/21,3,1,New York Subliners,https://youtu.be/PR1WIJSMfIg?t=1
cw-s3w3-groupplay-match-3,115,106.0,Seattle Surge,115.0,Atlanta FaZe,Stage 3 Week 3,5/7/21,1,3,Atlanta FaZe,https://youtu.be/gkiE8s_8avE?t=1
cw-s3w3-groupplay-match-4,116,107.0,Florida Mutineers,105.0,Dallas Empire,Stage 3 Week 3,5/7/21,3,0,Florida Mutineers,https://youtu.be/ESGEASQVSqM?t=1
cw-s3w3-groupplay-match-5,117,113.0,Paris Legion,112.0,Toronto Ultra,Stage 3 Week 3,5/8/21,0,3,Toronto Ultra,https://youtu.be/XB1DNQS0LgU?t=1
cw-s3w3-groupplay-match-6,118,110.0,New York Subliners,116.0,Los Angeles Thieves,Stage 3 Week 3,5/8/21,3,1,New York Subliners,https://youtu.be/3OeVrb-ILVM?t=1
cw-s3w3-groupplay-match-7,119,108.0,Los Angeles Guerrillas,107.0,Florida Mutineers,Stage 3 Week 3,5/8/21,2,3,Florida Mutineers,https://youtu.be/3XfVXb5xs3I?t=1
cw-s3w3-groupplay-match-8,120,111.0,London Royal Ravens,106.0,Seattle Surge,Stage 3 Week 3,5/9/21,3,1,London Royal Ravens,https://youtu.be/UpTGnrobNZo?t=1
cw-s3w3-groupplay-match-9,121,117.0,OpTic Chicago,115.0,Atlanta FaZe,Stage 3 Week 3,5/9/21,0,3,Atlanta FaZe,https://youtu.be/zEoUToI3nBo?t=1
cw-s3w3-groupplay-match-10,122,109.0,Minnesota RØKKR,105.0,Dallas Empire,Stage 3 Week 3,5/9/21,1,3,Dallas Empire,https://youtu.be/Kif0HLiHP6c?t=1
cw-major3-losers1-match-1,123,113.0,Paris Legion,111.0,London Royal Ravens,Major 3,5/13/21,1,3,London Royal Ravens,https://youtu.be/83-352cOPZo?t=1
cw-major3-losers1-match-2,124,106.0,Seattle Surge,108.0,Los Angeles Guerrillas,Major 3,5/13/21,1,3,Los Angeles Guerrillas,https://youtu.be/JY2HP6Dn6bw?t=1
cw-major3-winners1-match-1,125,105.0,Dallas Empire,115.0,Atlanta FaZe,Major 3,5/13/21,0,3,Atlanta FaZe,https://youtu.be/PvuteN9FGNs?t=1
cw-major3-winners1-match-2,126,116.0,Los Angeles Thieves,107.0,Florida Mutineers,Major 3,5/13/21,1,3,Florida Mutineers,https://youtu.be/rYEEBfuhKNE?t=1
cw-major3-losers2-match-1,127,111.0,London Royal Ravens,109.0,Minnesota RØKKR,Major 3,5/14/21,3,0,London Royal Ravens,https://youtu.be/MgsbH8jFAh0?t=1
cw-major3-losers2-match-2,128,108.0,Los Angeles Guerrillas,117.0,OpTic Chicago,Major 3,5/14/21,1,3,OpTic Chicago,https://youtu.be/_xDYIIscUBE?t=1
cw-major3-winners2-match-1,129,115.0,Atlanta FaZe,112.0,Toronto Ultra,Major 3,5/14/21,3,2,Atlanta FaZe,https://youtu.be/-Wht7eVStfU?t=1
cw-major3-winners2-match-2,130,107.0,Florida Mutineers,110.0,New York Subliners,Major 3,5/14/21,0,3,New York Subliners,https://youtu.be/D_wLjB2eST4?t=1
cw-major3-losers3-match-1,131,111.0,London Royal Ravens,116.0,Los Angeles Thieves,Major 3,5/15/21,0,3,Los Angeles Thieves,https://youtu.be/H1ZX50AA7fI?t=1
cw-major3-losers3-match-2,132,117.0,OpTic Chicago,105.0,Dallas Empire,Major 3,5/15/21,3,0,OpTic Chicago,https://youtu.be/XLRqVUdUKfw?t=1
cw-major3-losers4-match-1,133,116.0,Los Angeles Thieves,112.0,Toronto Ultra,Major 3,5/15/21,1,3,Toronto Ultra,https://youtu.be/1a7H5Nu5hhw?t=1
cw-major3-losers4-match-2,134,117.0,OpTic Chicago,107.0,Florida Mutineers,Major 3,5/15/21,3,0,OpTic Chicago,https://youtu.be/TUePXSuhNPs?t=1
cw-major3-winnersfinals-match-1,135,110.0,New York Subliners,115.0,Atlanta FaZe,Major 3,5/15/21,3,2,New York Subliners,https://youtu.be/3r08IwCGhrU?t=1
